"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13 de set. de 2022","5,1911","5,0918","5,2092","5,0766","177,68K","1,93%"
"12 de set. de 2022","5,0930","5,1477","5,1477","5,0834","126,68K","-1,06%"
"09 de set. de 2022","5,1477","5,2143","5,2146","5,1378","151,12K","-1,27%"
"08 de set. de 2022","5,2141","5,2483","5,2523","5,1783","195,76K","-0,65%"
"07 de set. de 2022","5,2480","5,2507","5,2507","5,2483","34,56K","-0,09%"
"06 de set. de 2022","5,2528","5,1547","5,2539","5,1532","134,86K","1,96%"
"05 de set. de 2022","5,1516","5,1660","5,1905","5,1495","93,71K","-0,32%"
"02 de set. de 2022","5,1681","5,2422","5,2422","5,1575","153,53K","-1,40%"
"01 de set. de 2022","5,2416","5,1833","5,2577","5,1462","169,57K","1,13%"
"31 de ago. de 2022","5,1831","5,1229","5,2122","5,1229","158,17K","1,19%"
"30 de ago. de 2022","5,1223","5,0285","5,1259","5,0076","161,49K","1,87%"
"29 de ago. de 2022","5,0282","5,0608","5,0917","5,0100","119,96K","-0,63%"
"26 de ago. de 2022","5,0601","5,1102","5,1175","5,0540","165,72K","-0,97%"
"25 de ago. de 2022","5,1099","5,1114","5,1437","5,0852","132,30K","-0,03%"
"24 de ago. de 2022","5,1114","5,1050","5,1244","5,0802","128,42K","0,15%"
"23 de ago. de 2022","5,1037","5,1576","5,1579","5,0700","131,87K","-1,04%"
"22 de ago. de 2022","5,1574","5,1706","5,2046","5,1498","123,06K","-0,24%"
"19 de ago. de 2022","5,1697","5,1694","5,2199","5,1648","132,82K","0,04%"
"18 de ago. de 2022","5,1674","5,1655","5,2074","5,1283","149,11K","0,06%"
"17 de ago. de 2022","5,1642","5,1469","5,2144","5,1452","167,02K","0,36%"
"16 de ago. de 2022","5,1459","5,0987","5,1549","5,0965","148,45K","0,98%"
"15 de ago. de 2022","5,0961","5,0721","5,1409","5,0721","130,15K","0,45%"
"12 de ago. de 2022","5,0735","5,1592","5,1649","5,0640","154,88K","-1,64%"
"11 de ago. de 2022","5,1581","5,0945","5,1712","5,0605","166,77K","1,28%"
"10 de ago. de 2022","5,0927","5,1249","5,1421","5,0342","148,33K","-0,61%"
"09 de ago. de 2022","5,1237","5,1129","5,1522","5,0926","122,15K","0,23%"
"08 de ago. de 2022","5,1117","5,1638","5,1638","5,1023","130,57K","-1,02%"
"05 de ago. de 2022","5,1646","5,2145","5,2782","5,1553","160,22K","-0,99%"
"04 de ago. de 2022","5,2164","5,2844","5,2959","5,1986","165,48K","-1,23%"
"03 de ago. de 2022","5,2815","5,2796","5,3163","5,2430","139,46K","0,06%"
"02 de ago. de 2022","5,2784","5,1856","5,2850","5,1856","188,78K","1,82%"
"01 de ago. de 2022","5,1838","5,1759","5,2050","5,1269","165,25K","0,20%"
"29 de jul. de 2022","5,1734","5,1842","5,2221","5,1448","165,18K","-0,17%"
"28 de jul. de 2022","5,1823","5,2442","5,2740","5,1578","165,07K","-1,16%"
"27 de jul. de 2022","5,2432","5,3517","5,3526","5,2372","176,20K","-2,02%"
"26 de jul. de 2022","5,3511","5,3576","5,3931","5,3345","172,29K","-0,12%"
