rank,name,country,total_points,round 1-2019,round 2-2019,round 3-2019,round 4-2019,round 5-2019,round 6-2019,round 7-2019,round 8-2019,round 9-2019,round 10-2019,round 11-2019
1,Italo Ferreira,Brazil,59740,10000,4745,1330,4745,1330,7800,1330,3320,7800,10000,10000
2,Gabriel Medina,Brazil,56475,4745,4745,1330,1330,4745,10000,7800,10000,3320,3320,7800
3,Jordy Smith,South Africa,49985,6085,6085,1330,4745,7800,3320,6085,4745,3320,7800,1330
4,Filipe Toledo,Brazil,49145,3320,7800,4745,1330,10000,6085,3320,7800,1330,4745,1330
5,Kolohe Andino,United States,46655,7800,1330,4745,7800,6085,6085,1330,1330,4745,4745,3320
6,Kanoa Igarashi,Japan,40185,3320,3320,10000,3320,4745,4745,1330,3320,1330,6085,1330
7,John John Florence,Hawaii,37700,6085,10000,1330,10000,4745,265,265,265,265,265,4745
8,Kelly Slater,United States,34845,265,4745,6085,3320,3320,3320,1330,3320,1330,3320,6085
9,Owen Wright,Australia,34780,3320,3320,1330,3320,1330,4745,10000,6085,1330,1330,1330
10,Jeremy Flores,France,32515,1330,3320,7800,1330,265,1330,4745,1330,10000,1330,265
11,Julian Wilson,Australia,31515,1330,1330,3320,6085,4745,1330,3320,4745,3320,1330,3320
12,Seth Moniz,Hawaii,29525,4745,3320,1330,4745,1330,1330,6085,1330,3320,265,3320
13,Michel Bourez,France,29315,3320,1330,3320,3320,3320,3320,3320,265,3320,1330,4745
14,Ryan Callinan,Australia,27535,1330,6085,3320,4745,1330,3320,1330,1330,4745,265,1330
14,Jack Freestone,Australia,27535,1330,1330,3320,1330,1330,1330,3320,1330,6085,4745,4745
16,Griffin Colapinto,United States,27450,1330,265,1330,1330,3320,1330,3320,6085,1330,3320,6085
17,Caio Ibelli,Brazil,26885,265,1330,1330,6085,1330,1330,4745,1330,1330,6085,3320
18,Wade Carmichael,Australia,26760,4745,1330,4745,265,3320,1330,1330,3320,3320,3320,1330
19,Adrian Buchan,Australia,25630,1330,1330,4745,265,265,4745,1330,4745,4745,1330,1330
20,Conner Coffin,United States,23345,4745,3320,3320,3320,1330,1330,1330,1330,1330,3320,1330
20,Peterson Crisanto,Brazil,23345,1330,3320,1330,3320,265,3320,1330,265,1330,4745,3320
22,Yago Dora,Brazil,22780,3320,1330,1330,1330,1330,1330,1330,4745,3320,1330,4745
23,Deivid Silva,Brazil,21920,1330,3320,1330,1330,3320,3320,3320,3320,265,1330,1330
24,Willian Cardoso,Brazil,19930,3320,3320,1330,1330,1330,3320,1330,3320,1330,1330,1330
24,Jesse Mendes,Italy,19930,1330,265,3320,1330,3320,265,1330,1330,1330,3320,3320
26,Michael Rodrigues,Brazil,19640,1330,1330,6085,1330,3320,1330,265,265,1330,3320,265
27,Sebastian Zietz,Hawaii,18300,1330,265,265,3320,1330,4745,1330,3320,265,1330,1330
28,Ezekiel Lau,Hawaii,17940,1330,1330,265,1330,1330,3320,1330,3320,3320,265,1330
28,Joan Duru,France,17940,1330,265,3320,1330,3320,1330,3320,1330,1330,1330,1330
30,Soli Bailey,Australia,15950,1330,1330,265,1330,1330,1330,1330,1330,1330,3320,3320
31,Leonardo Fioravanti,Italy,14455,265,1330,3320,1330,265,265,265,265,6085,1330,265
32,Jadson Andre,Brazil,14320,265,1330,1330,1330,1330,265,4745,1330,265,1330,1330
33,Ricardo Christie,New Zealand,13960,1330,1330,1330,1330,1330,1330,1330,1330,265,265,3320
34,Frederico Morais,Portugal,10870,-,-,-,265,6085,1330,265,-,1330,1330,265
35,Adriano de Souza,Brazil,8995,265,265,265,265,1330,1330,4745,265,265,265,265
36,Mikey Wright,Australia,7570,3320,1330,1330,265,265,265,265,265,265,265,265
37,Jacob Willcox,Australia,5275,-,4745,265,265,-,-,-,-,-,-,-
38,Marc Lacomare,France,4745,-,-,-,-,-,-,-,-,4745,-,-
39,Reef Heazlewood,Australia,4650,3320,1330,-,-,-,-,-,-,-,-,-
40,Kauli Vaast,France,3320,-,-,-,-,-,-,3320,-,-,-,-
40,Jack Robinson,Australia,3320,-,-,-,3320,-,-,-,-,-,-,-
42,Crosby Colapinto,United States,2660,-,-,-,-,-,-,-,1330,-,1330,-
43,Mateus Herdy,Brazil,1860,1330,-,-,-,265,-,-,265,-,-,-
44,Jorgann Couzinet,France,1595,-,-,-,-,-,265,-,-,1330,-,-
45,Michael February,South Africa,1330,-,-,-,-,-,1330,-,-,-,-,-
45,Vasco Ribeiro,Portugal,1330,-,-,-,-,-,-,-,-,-,1330,-
45,Miguel Blanco,Portugal,1330,-,-,-,-,-,-,-,-,-,1330,-
45,Krystian Kymerson,Brazil,1330,-,-,-,-,1330,-,-,-,-,-,-
45,Billy Kemper,Hawaii,1330,-,-,-,-,-,-,-,-,-,-,1330
45,Jett Schilling,United States,1330,-,-,-,-,-,-,-,1330,-,-,-
