rank,name,country,total_points,round 1-2022,round 2-2022,round 3-2022,round 4-2022,round 5-2022,round 6-2022,round 7-2022,round 8-2022,round 9-2022,round 10-2022
1,Filipe Toledo,Brazil,54690,3320,3320,7800,10000,3320,7800,7800,10000,3320,1330
2,Jack Robinson,Australia,51345,1330,4745,1330,6085,10000,10000,4745,3320,7800,3320
3,Ethan Ewing,Australia,44290,1330,6085,1330,6085,6085,3320,4745,3320,10000,3320
4,Italo Ferreira,Brazil,40460,3320,1330,6085,4745,4745,3320,6085,6085,4745,1330
5,Kanoa Igarashi,Japan,40270,4745,7800,4745,1330,1330,4745,4745,1330,6085,4745
6,Miguel Pupo,Brazil,40185,6085,265,3320,4745,3320,3320,1330,4745,3320,10000
7,Griffin Colapinto,United States,40120,1330,1330,10000,1330,4745,4745,10000,1330,3320,3320
8,Caio Ibelli,Brazil,34195,6085,6085,1330,1330,3320,1330,3320,3320,3320,6085
9,Connor O'Leary,Australia,33505,1330,3320,3320,3320,1330,6085,3320,4745,4745,3320
10,Callum Robson,Australia,33230,3320,1330,3320,7800,3320,1330,4745,4745,3320,1330
10,Samuel Pupo,Brazil,33230,4745,1330,1330,3320,3320,3320,1330,7800,4745,3320
12,John John Florence,Hawaii,32015,4745,1330,6085,4745,7800,3320,1330,1330,1330,1330
13,Matthew McGillivray,South Africa,30450,1330,3320,265,265,6085,4745,3320,3320,3320,4745
14,Jordy Smith,South Africa,30175,3320,3320,4745,1330,4745,1330,3320,1330,4745,3320
15,Kelly Slater,United States,29375,10000,1330,3320,1330,1330,1330,1330,1330,3320,6085
16,Barron Mamiya,Hawaii,26610,3320,10000,1330,1330,3320,1330,3320,1330,1330,1330
17,Nat Young,United States,25335,1330,3320,3320,3320,4745,1330,1330,3320,3320,1330
18,Jake Marshall,United States,23345,1330,4745,3320,1330,1330,3320,3320,1330,1330,3320
19,Yago Dora,Brazil,22625,265,265,265,265,265,1330,3320,6085,6085,4745
20,Kolohe Andino,United States,22015,1330,3320,4745,3320,3320,3320,1330,1330,1330,1330
21,Jadson Andre,Brazil,21355,265,3320,1330,1330,3320,4745,1330,1330,1330,3320
22,Seth Moniz,Hawaii,20790,7800,4745,1330,265,265,1330,1330,1330,1330,1330
23,Jackson Baker,Australia,19930,1330,1330,3320,3320,1330,1330,3320,3320,1330,1330
24,Gabriel Medina,Brazil,17220,265,265,265,265,265,6085,6085,1330,1330,1330
